steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
84182	661	110.90839910507202	200.0	200.0	0.0	200.0	200.0	9.090589	0.50735503	0.9368775872886181	-0.005379993943497538	13120	0.1897809050770246
85158	666	112.1387107372284	200.0	200.0	0.0	200.0	200.0	8.343333	0.5349602	0.4932420562952757	-0.012233577631413937	13280	0.33406713606451854
86158	671	113.40711236000061	200.0	200.0	0.0	200.0	200.0	9.7058325	0.5598904	0.9330459455400706	-0.001599322846159339	13440	0.10939956337605106
87158	676	114.69069838523865	200.0	200.0	0.0	200.0	200.0	9.146773	0.5358778	0.7713426944613456	-0.0035448513086885213	13600	0.37620086102302663
88158	681	115.95228719711304	200.0	200.0	0.0	200.0	200.0	9.468836	0.5610108	0.9424652789533138	-0.0032777136377990248	13760	0.23994736366153058
89158	686	117.17652797698975	200.0	200.0	0.0	200.0	200.0	9.630108	0.5532655	0.9241850974410772	-0.0038385121384635567	13920	0.3618852085859958
90158	691	118.40427613258362	200.0	200.0	0.0	200.0	200.0	9.430932	0.54466385	0.8538890017569065	-0.0020688359066843988	14080	0.38475296107900137
91158	696	119.63642072677612	200.0	200.0	0.0	200.0	200.0	9.686459	0.54003865	1.0647877816855909	-0.006377576012164354	14240	0.14522654788627165
92158	701	120.53706574440002	200.0	200.0	0.0	200.0	200.0	9.597716	0.5538346	1.0647877816855909	-0.006377576012164354	14240	0.14522654788627165
93158	706	121.87607002258301	200.0	200.0	0.0	200.0	200.0	9.470392	0.57348996	1.0408491741120816	-0.0009675878286361695	14400	0.21044745649984287
94158	711	123.13874435424805	200.0	200.0	0.0	200.0	200.0	9.943705	0.56335634	0.9483540960401297	-0.0060902638919651505	14560	0.2917797383750893
95158	716	124.44785761833191	200.0	200.0	0.0	200.0	200.0	9.2543	0.5704955	1.10688237413764	0.001546313362196088	14720	0.16151127404989274
96158	721	125.70391416549683	199.1	200.0	2.8460498941515415	200.0	191.0	9.5782175	0.5682202	0.8806935641169548	-0.0060607361420989036	14880	0.31239808366079413
97140	726	126.89831495285034	187.7	197.0	18.59539967004982	200.0	150.0	8.584512	0.5557547	0.9907284829020501	-0.0015947902016341686	15040	0.2804773108210653
98064	731	128.06882882118225	187.8	199.0	19.555050498528505	200.0	140.0	8.46189	0.5482854	0.5676983138173819	0.0014590437151491642	15200	0.43660457369592964
99144	737	129.24717116355896	159.5	156.5	19.149992747315135	200.0	133.0	9.0571575	0.5488552	0.26905788108706474	0.0016363646648824214	15360	0.693998257495567
100000	743	130.29794239997864	146.6	151.0	23.119015742217247	181.0	111.0	9.281952	0.55180377	0.2748226525261998	-0.007290393956936896	15520	0.8277068459734329
